source,value,target,town
Residential Levy,36517106.56,Tax Levy,Abington
Open Space Levy,0,Tax Levy,Abington
Commercial Levy,3112213.92,Tax Levy,Abington
Industrial Levy,359240.17,Tax Levy,Abington
Personal Prop Levy,838156.96,Tax Levy,Abington
Tax Levy,40826717.61,Total Revenue,Abington
State Aid,15991543,Total Revenue,Abington
Local Receipts,5408643.88,Total Revenue,Abington
Enterprise & CPA Funds,9184875.24,Total Revenue,Abington
Other Revenue,2012239.91,Total Revenue,Abington
Total Revenue,61748904,Total Spending,Abington
Total Revenue,11675115.64,Budget Surplus,Abington
Budget Defecit,0,Total Spending,Abington
Total Spending,2718792,General Government,Abington
Total Spending,3790413,Police,Abington
Total Spending,4004374,Fire,Abington
Total Spending,326220,Other Public Safety,Abington
Total Spending,29395167,Education,Abington
Total Spending,2921094,Public Works,Abington
Total Spending,611277,Human Services,Abington
Total Spending,786611,Culture and Recreation,Abington
Total Spending,11452850,Fixed Costs,Abington
Total Spending,1275913,Intergovernmental Assessments,Abington
Total Spending,3047,Other Expenditures,Abington
Total Spending,4463146,Debt Service,Abington
Residential Levy,92683727.78,Tax Levy,Acton
Open Space Levy,0,Tax Levy,Acton
Commercial Levy,6460100.85,Tax Levy,Acton
Industrial Levy,1883829.78,Tax Levy,Acton
Personal Prop Levy,1932652.79,Tax Levy,Acton
Tax Levy,102960311.2,Total Revenue,Acton
State Aid,2802540,Total Revenue,Acton
Local Receipts,5533410.07,Total Revenue,Acton
Enterprise & CPA Funds,6436347,Total Revenue,Acton
Other Revenue,1340463,Total Revenue,Acton
Total Revenue,109480269,Total Spending,Acton
Total Revenue,9592802.27000001,Budget Surplus,Acton
Budget Defecit,0,Total Spending,Acton
Total Spending,7176679,General Government,Acton
Total Spending,4934435,Police,Acton
Total Spending,3923699,Fire,Acton
Total Spending,1109866,Other Public Safety,Acton
Total Spending,72530578,Education,Acton
Total Spending,3679682,Public Works,Acton
Total Spending,1945881,Human Services,Acton
Total Spending,1699923,Culture and Recreation,Acton
Total Spending,9059639,Fixed Costs,Acton
Total Spending,336421,Intergovernmental Assessments,Acton
Total Spending,8746,Other Expenditures,Acton
Total Spending,3074720,Debt Service,Acton
Residential Levy,17946746.41,Tax Levy,Acushnet
Open Space Levy,0,Tax Levy,Acushnet
Commercial Levy,626784.18,Tax Levy,Acushnet
Industrial Levy,551653.03,Tax Levy,Acushnet
Personal Prop Levy,2153848.02,Tax Levy,Acushnet
Tax Levy,21279031.64,Total Revenue,Acushnet
State Aid,8440109,Total Revenue,Acushnet
Local Receipts,3687247,Total Revenue,Acushnet
Enterprise & CPA Funds,3028951,Total Revenue,Acushnet
Other Revenue,3210787.43,Total Revenue,Acushnet
Total Revenue,31911062,Total Spending,Acushnet
Total Revenue,7735064.07,Budget Surplus,Acushnet
Budget Defecit,0,Total Spending,Acushnet
Total Spending,1744595,General Government,Acushnet
Total Spending,2713565,Police,Acushnet
Total Spending,1560585,Fire,Acushnet
Total Spending,223881,Other Public Safety,Acushnet
Total Spending,17714818,Education,Acushnet
Total Spending,2218698,Public Works,Acushnet
Total Spending,514228,Human Services,Acushnet
Total Spending,371139,Culture and Recreation,Acushnet
Total Spending,3817050,Fixed Costs,Acushnet
Total Spending,460426,Intergovernmental Assessments,Acushnet
Total Spending,0,Other Expenditures,Acushnet
Total Spending,572077,Debt Service,Acushnet
Residential Levy,10102208.72,Tax Levy,Adams
Open Space Levy,0,Tax Levy,Adams
Commercial Levy,1035312.54,Tax Levy,Adams
Industrial Levy,720174.46,Tax Levy,Adams
Personal Prop Levy,1019254.13,Tax Levy,Adams
Tax Levy,12876949.85,Total Revenue,Adams
State Aid,2992818,Total Revenue,Adams
Local Receipts,1440686,Total Revenue,Adams
Enterprise & CPA Funds,0,Total Revenue,Adams
Other Revenue,720000,Total Revenue,Adams
Total Revenue,17181020,Total Spending,Adams
Total Revenue,849433.8500000015,Budget Surplus,Adams
Budget Defecit,0,Total Spending,Adams
Total Spending,1807580,General Government,Adams
Total Spending,1721669,Police,Adams
Total Spending,12093,Fire,Adams
Total Spending,205646,Other Public Safety,Adams
Total Spending,7247141,Education,Adams
Total Spending,2063144,Public Works,Adams
Total Spending,369810,Human Services,Adams
Total Spending,600525,Culture and Recreation,Adams
Total Spending,2541136,Fixed Costs,Adams
Total Spending,42367,Intergovernmental Assessments,Adams
Total Spending,0,Other Expenditures,Adams
Total Spending,569909,Debt Service,Adams
Residential Levy,45279039.4,Tax Levy,Agawam
Open Space Levy,0,Tax Levy,Agawam
Commercial Levy,7689410.45,Tax Levy,Agawam
Industrial Levy,6707895.78,Tax Levy,Agawam
Personal Prop Levy,10410786.62,Tax Levy,Agawam
Tax Levy,70087132.25,Total Revenue,Agawam
State Aid,27581368,Total Revenue,Agawam
Local Receipts,5673862,Total Revenue,Agawam
Enterprise & CPA Funds,14938411.44,Total Revenue,Agawam
Other Revenue,4227192.29,Total Revenue,Agawam
Total Revenue,93948857,Total Spending,Agawam
Total Revenue,28559108.980000004,Budget Surplus,Agawam
Budget Defecit,0,Total Spending,Agawam
Total Spending,9738822,General Government,Agawam
Total Spending,6007296,Police,Agawam
Total Spending,4397709,Fire,Agawam
Total Spending,317253,Other Public Safety,Agawam
Total Spending,47886252,Education,Agawam
Total Spending,6710539,Public Works,Agawam
Total Spending,1700274,Human Services,Agawam
Total Spending,1438513,Culture and Recreation,Agawam
Total Spending,11458118,Fixed Costs,Agawam
Total Spending,2092523,Intergovernmental Assessments,Agawam
Total Spending,3000,Other Expenditures,Agawam
Total Spending,2198558,Debt Service,Agawam
Residential Levy,1556552.18,Tax Levy,Alford
Open Space Levy,0,Tax Levy,Alford
Commercial Levy,9215.83,Tax Levy,Alford
Industrial Levy,0,Tax Levy,Alford
Personal Prop Levy,27360.34,Tax Levy,Alford
Tax Levy,1593128.35,Total Revenue,Alford
State Aid,22058,Total Revenue,Alford
Local Receipts,195840,Total Revenue,Alford
Enterprise & CPA Funds,480600,Total Revenue,Alford
Other Revenue,124500,Total Revenue,Alford
Total Revenue,1715756,Total Spending,Alford
Total Revenue,700370.3500000001,Budget Surplus,Alford
Budget Defecit,0,Total Spending,Alford
Total Spending,246335,General Government,Alford
Total Spending,49923,Police,Alford
Total Spending,33277,Fire,Alford
Total Spending,20617,Other Public Safety,Alford
Total Spending,450604,Education,Alford
Total Spending,543687,Public Works,Alford
Total Spending,22644,Human Services,Alford
Total Spending,8597,Culture and Recreation,Alford
Total Spending,170634,Fixed Costs,Alford
Total Spending,404,Intergovernmental Assessments,Alford
Total Spending,0,Other Expenditures,Alford
Total Spending,169034,Debt Service,Alford
Residential Levy,46015543.94,Tax Levy,Amesbury
Open Space Levy,0,Tax Levy,Amesbury
Commercial Levy,3092946.15,Tax Levy,Amesbury
Industrial Levy,1926242.26,Tax Levy,Amesbury
Personal Prop Levy,1534505.05,Tax Levy,Amesbury
Tax Levy,52569237.4,Total Revenue,Amesbury
State Aid,13218331,Total Revenue,Amesbury
Local Receipts,4555000,Total Revenue,Amesbury
Enterprise & CPA Funds,7562141,Total Revenue,Amesbury
Other Revenue,1644532.34,Total Revenue,Amesbury
Total Revenue,69903450,Total Spending,Amesbury
Total Revenue,9645791.74000001,Budget Surplus,Amesbury
Budget Defecit,0,Total Spending,Amesbury
Total Spending,2828441,General Government,Amesbury
Total Spending,4797731,Police,Amesbury
Total Spending,4199356,Fire,Amesbury
Total Spending,370010,Other Public Safety,Amesbury
Total Spending,37418859,Education,Amesbury
Total Spending,3855434,Public Works,Amesbury
Total Spending,936459,Human Services,Amesbury
Total Spending,875679,Culture and Recreation,Amesbury
Total Spending,7054715,Fixed Costs,Amesbury
Total Spending,3750074,Intergovernmental Assessments,Amesbury
Total Spending,0,Other Expenditures,Amesbury
Total Spending,3816692,Debt Service,Amesbury
Residential Levy,54770505.54,Tax Levy,Amherst
Open Space Levy,0,Tax Levy,Amherst
Commercial Levy,4042595.54,Tax Levy,Amherst
Industrial Levy,108290.76,Tax Levy,Amherst
Personal Prop Levy,2803791.21,Tax Levy,Amherst
Tax Levy,61725183.05,Total Revenue,Amherst
State Aid,17451592,Total Revenue,Amherst
Local Receipts,6409206,Total Revenue,Amherst
Enterprise & CPA Funds,14909991.5,Total Revenue,Amherst
Other Revenue,15260143,Total Revenue,Amherst
Total Revenue,81198374,Total Spending,Amherst
Total Revenue,34557741.55,Budget Surplus,Amherst
Budget Defecit,0,Total Spending,Amherst
Total Spending,5076376,General Government,Amherst
Total Spending,5260912,Police,Amherst
Total Spending,4985628,Fire,Amherst
Total Spending,1950518,Other Public Safety,Amherst
Total Spending,42554419,Education,Amherst
Total Spending,1877513,Public Works,Amherst
Total Spending,645236,Human Services,Amherst
Total Spending,3512209,Culture and Recreation,Amherst
Total Spending,11145165,Fixed Costs,Amherst
Total Spending,3356810,Intergovernmental Assessments,Amherst
Total Spending,0,Other Expenditures,Amherst
Total Spending,833588,Debt Service,Amherst
Residential Levy,123889333.17,Tax Levy,Andover
Open Space Levy,0,Tax Levy,Andover
Commercial Levy,18602096.92,Tax Levy,Andover
Industrial Levy,22615299.3,Tax Levy,Andover
Personal Prop Levy,9671524.24,Tax Levy,Andover
Tax Levy,174778253.63,Total Revenue,Andover
State Aid,14872497,Total Revenue,Andover
Local Receipts,13731722,Total Revenue,Andover
Enterprise & CPA Funds,18332083,Total Revenue,Andover
Other Revenue,6754743,Total Revenue,Andover
Total Revenue,174234500,Total Spending,Andover
Total Revenue,54234798.629999995,Budget Surplus,Andover
Budget Defecit,0,Total Spending,Andover
Total Spending,12973809,General Government,Andover
Total Spending,8344506,Police,Andover
Total Spending,9607421,Fire,Andover
Total Spending,1069682,Other Public Safety,Andover
Total Spending,95975180,Education,Andover
Total Spending,8907618,Public Works,Andover
Total Spending,1255988,Human Services,Andover
Total Spending,5376631,Culture and Recreation,Andover
Total Spending,7770044,Fixed Costs,Andover
Total Spending,927058,Intergovernmental Assessments,Andover
Total Spending,669020,Other Expenditures,Andover
Total Spending,21357543,Debt Service,Andover
Residential Levy,141006844.86,Tax Levy,Arlington
Open Space Levy,0,Tax Levy,Arlington
Commercial Levy,5733927.17,Tax Levy,Arlington
Industrial Levy,284770.99,Tax Levy,Arlington
Personal Prop Levy,2144306.08,Tax Levy,Arlington
Tax Levy,149169849.1,Total Revenue,Arlington
