DOR Code,Municipality,County,Billing Cycle,Form of Government,School Structure,2021 Population,FY 2023 Single Family Tax Bill,2020 DOR Income Per Capita,2022 EQV Per Capita,Land Area,Population Density,2018 Total Road Miles,Fiscal Year,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernmental Assessments,Other Expenditures,Debt Service,Total Expenditures,Tax Levy,State Aid,Local Receipts,Enterprise & CPA Funds,Other Revenue,Total Budget...9,Tax Levy as % of Budget...10,State Aid as % of Budget...11,Local Receipts as % of Budget...12,All Other as % of Budget,Total Budget...14,Tax Levy as % of Budget...15,State Aid as % of Budget...16,Local Receipts as % of Budget...17,Other + CPA + Ent as % of Total,Residential Tax Rate,Open Space Tax Rate,Commercial Tax Rate,Industrial Tax Rate,Personal Property Tax Rate,Residential Levy,Open Space Levy,Commercial Levy,Industrial Levy,Personal Prop Levy,Total Tax Levy,R/O % of Total Levy,CIP as % of Total Levy
001,Abington,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-12,17094,7076,40313,157589,9.65,1771,67.4,2023,2718792,3790413,4004374,326220,29395167,2921094,611277,786611,11452850,1275913,3047,4463146,61748904,40826717.61,15991543,5408643.88,9184875.24,2012239.91,64239144.4,63.55,24.89,8.42,3.13,73424019.64,55.6,21.78,7.37,15.25,14.21,0,14.21,14.21,14.21,36517106.56,0,3112213.92,359240.17,838156.96,40826717.61,89.44,10.56
002,Acton,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-06,23846,13638,81081,220378,19.87,1200,127.8,2023,7176679,4934435,3923699,1109866,72530578,3679682,1945881,1699923,9059639,336421,8746,3074720,109480269,102960311.2,2802540,5533410.07,6436347,1340463,112636724.27,91.41,2.49,4.91,1.19,119073071.27,86.47,2.35,4.65,6.53,17.56,0,17.56,17.56,17.56,92683727.78,0,6460100.85,1883829.78,1932652.79,102960311.2,90.02,9.98
003,Acushnet,BRISTOL,Quarterly,OPEN TOWN MEETING,K-08,10553,4728,38638,154513,18.43,573,69.2,2023,1744595,2713565,1560585,223881,17714818,2218698,514228,371139,3817050,460426,0,572077,31911062,21279031.64,8440109,3687247,3028951,3210787.43,36617175.07,58.11,23.05,10.07,8.77,39646126.07,53.67,21.29,9.3,15.74,12,0,16.98,16.98,16.98,17946746.41,0,626784.18,551653.03,2153848.02,21279031.64,84.34,15.66
004,Adams,BERKSHIRE,Semi-Annual,REPRESENTATIVE TOWN MEETING,No data,8100,3560,25288,73282,22.89,354,76.64,2023,1807580,1721669,12093,205646,7247141,2063144,369810,600525,2541136,42367,0,569909,17181020,12876949.85,2992818,1440686,0,720000,18030453.85,71.42,16.6,7.99,3.99,18030453.85,71.42,16.6,7.99,3.99,18.55,0,25.65,25.65,25.65,10102208.72,0,1035312.54,720174.46,1019254.13,12876949.85,78.45,21.55
005,Agawam,HAMPDEN,Quarterly,COUNCIL AND ALDERMAN,K-12,28494,4619,34173,125667,23.31,1222,153.07,2023,9738822,6007296,4397709,317253,47886252,6710539,1700274,1438513,11458118,2092523,3000,2198558,93948857,70087132.25,27581368,5673862,14938411.44,4227192.29,107569554.54,65.16,25.64,5.27,3.93,122507965.98,57.21,22.51,4.63,15.64,15.78,0,30.19,30.19,30.19,45279039.4,0,7689410.45,6707895.78,10410786.62,70087132.25,64.6,35.4
006,Alford,BERKSHIRE,Semi-Annual,OPEN TOWN MEETING,No data,484,4226,38213,636517,11.5,42,17.6,2023,246335,49923,33277,20617,450604,543687,22644,8597,170634,404,0,169034,1715756,1593128.35,22058,195840,480600,124500,1935526.35,82.31,1.14,10.12,6.43,2416126.35,65.94,0.91,8.11,25.04,5,0,5,5,5,1556552.18,0,9215.83,0,27360.34,1593128.35,97.7,2.3
007,Amesbury,ESSEX,Quarterly,COUNCIL AND ALDERMAN,K-12,17269,8503,42503,173111,12.26,1409,73.45,2023,2828441,4797731,4199356,370010,37418859,3855434,936459,875679,7054715,3750074,0,3816692,69903450,52569237.4,13218331,4555000,7562141,1644532.34,71987100.74,73.03,18.36,6.33,2.28,79549241.74,66.08,16.62,5.73,11.57,16.34,0,16.34,16.34,16.34,46015543.94,0,3092946.15,1926242.26,1534505.05,52569237.4,87.53,12.47
008,Amherst,HAMPSHIRE,Quarterly,REPRESENTATIVE TOWN MEETING,K-06,39378,8984,20969,73996,27.6,1427,138.07,2023,5076376,5260912,4985628,1950518,42554419,1877513,645236,3512209,11145165,3356810,0,833588,81198374,61725183.05,17451592,6409206,14909991.5,15260143,100846124.05,61.21,17.31,6.36,15.13,115756115.55,53.32,15.08,5.54,26.06,20.1,0,20.1,20.1,20.1,54770505.54,0,4042595.54,108290.76,2803791.21,61725183.05,88.73,11.27
009,Andover,ESSEX,Quarterly,OPEN TOWN MEETING,K-12,36517,11734,91198,279435,30.85,1184,227.93,2023,12973809,8344506,9607421,1069682,95975180,8907618,1255988,5376631,7770044,927058,669020,21357543,174234500,174778253.63,14872497,13731722,18332083,6754743,210137215.63,83.17,7.08,6.53,3.21,228469298.63,76.5,6.51,6.01,10.98,13.66,0,27.32,27.32,27.32,123889333.17,0,18602096.92,22615299.3,9671524.24,174778253.63,70.88,29.12
010,Arlington,MIDDLESEX,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,45617,10228,74842,296713,5.15,8858,121.6,2023,7349152,8675448,8338346,508826,91353298,9719068,1671007,4419762,36333367,3823337,0,19051221,191242832,149169849.1,25221523,9225900,30919109,15374764,198992036.1,74.96,12.67,4.64,7.73,229911145.1,64.88,10.97,4.01,20.14,11.21,0,11.21,11.21,11.21,141006844.86,0,5733927.17,284770.99,2144306.08,149169849.1,94.53,5.47
